index,episode,reward
9171,10,-21.0
18727,20,-21.0
28082,30,-20.0
37253,40,-21.0
46264,50,-20.0
55487,60,-19.0
64587,70,-21.0
74331,80,-21.0
83280,90,-20.0
92029,100,-21.0
100726,110,-21.0
109545,120,-20.0
118119,130,-21.0
126918,140,-21.0
136013,150,-21.0
145098,160,-21.0
153965,170,-21.0
163724,180,-21.0
174498,190,-19.0
185597,200,-21.0
195461,210,-21.0
204432,220,-21.0
214514,230,-21.0
224446,240,-20.0
234833,250,-20.0
244700,260,-20.0
255868,270,-19.0
266110,280,-17.0
277316,290,-19.0
288121,300,-21.0
300303,310,-20.0
312970,320,-20.0
326968,330,-21.0
341180,340,-19.0
357866,350,-20.0
372214,360,-19.0
388951,370,-20.0
407799,380,-20.0
426293,390,-19.0
445774,400,-21.0
465949,410,-19.0
483808,420,-18.0
503809,430,-19.0
521996,440,-15.0
542881,450,-20.0
563396,460,-17.0
584264,470,-17.0
605288,480,-18.0
627056,490,-19.0
647570,500,-18.0
668871,510,-20.0
692649,520,-12.0
718464,530,-16.0
742776,540,-17.0
768426,550,-19.0
792593,560,-19.0
816682,570,-18.0
840970,580,-19.0
866384,590,-16.0
888989,600,-9.0
917307,610,8.0
947474,620,-13.0
977316,630,10.0
1007110,640,11.0
1036403,650,-7.0
1061391,660,15.0
1086528,670,21.0
1111524,680,20.0
1134504,690,19.0
1159034,700,21.0
1178782,710,19.0
1202636,720,18.0
1222885,730,18.0
1243316,740,17.0
1263448,750,20.0
1282914,760,20.0
1303733,770,19.0
1325961,780,6.0
1345069,790,14.0
1364866,800,19.0
1385192,810,4.0
1404552,820,20.0
1424557,830,20.0
1445933,840,9.0
1465791,850,18.0
1486033,860,14.0
1504115,870,19.0
1523036,880,17.0
1542306,890,18.0
1560860,900,20.0
1580097,910,20.0
1598965,920,20.0
1617117,930,21.0
1636539,940,-21.0
1655560,950,20.0
1674091,960,20.0
1692177,970,20.0
1710045,980,20.0
1727406,990,21.0
1746067,1000,15.0
1765323,1010,19.0
1784828,1020,21.0
1804785,1030,15.0
1823011,1040,20.0
1841029,1050,12.0
1859220,1060,20.0
1880667,1070,20.0
1900312,1080,19.0
1918423,1090,19.0
1940415,1100,1.0
1959275,1110,13.0
1978289,1120,19.0
1997998,1130,14.0
2017213,1140,19.0
2036172,1150,20.0
2055059,1160,21.0
2073319,1170,-21.0
2091127,1180,18.0
2109065,1190,20.0
2127362,1200,20.0
2147004,1210,12.0
2165672,1220,20.0
2184772,1230,20.0
2203629,1240,21.0
2222379,1250,21.0
2239734,1260,20.0
2257112,1270,18.0
2276383,1280,20.0
2293799,1290,20.0
2312625,1300,16.0
2331052,1310,19.0
2348791,1320,20.0
2367481,1330,18.0
2385383,1340,19.0
2402033,1350,21.0
2419830,1360,20.0
2439350,1370,18.0
2457543,1380,20.0
2478252,1390,21.0
2495709,1400,21.0
2513042,1410,21.0
2530444,1420,19.0
2547654,1430,21.0
2565377,1440,19.0
2582670,1450,21.0
2600157,1460,18.0
2617742,1470,19.0
2635251,1480,20.0
2652598,1490,20.0
2670220,1500,17.0
2687884,1510,20.0
2705225,1520,20.0
2722748,1530,21.0
