index,episode,reward
9297,10,-19.0
17368,20,-21.0
26123,30,-21.0
35153,40,-21.0
44389,50,-20.0
53298,60,-21.0
62511,70,-21.0
71976,80,-21.0
81689,90,-19.0
91341,100,-20.0
101574,110,-20.0
113484,120,-18.0
125522,130,-19.0
138940,140,-19.0
155448,150,-19.0
174731,160,-17.0
197762,170,-11.0
216124,180,-19.0
238945,190,-18.0
262065,200,-13.0
284843,210,-19.0
308257,220,-14.0
331174,230,-16.0
355987,240,-5.0
382295,250,-17.0
412917,260,-7.0
446906,270,-1.0
481180,280,5.0
512639,290,7.0
540378,300,15.0
568167,310,-4.0
595745,320,7.0
617795,330,18.0
637724,340,19.0
657911,350,16.0
678403,360,20.0
697247,370,20.0
715706,380,21.0
733878,390,20.0
752615,400,16.0
772372,410,19.0
793015,420,19.0
812748,430,20.0
832315,440,16.0
850201,450,21.0
867835,460,20.0
886014,470,21.0
903609,480,21.0
921856,490,21.0
940301,500,20.0
957809,510,20.0
975777,520,17.0
993586,530,20.0
1011634,540,21.0
1030358,550,19.0
1047894,560,19.0
1066465,570,18.0
1084372,580,20.0
1102086,590,18.0
1119800,600,20.0
1137962,610,19.0
1155960,620,13.0
1174553,630,19.0
1195237,640,19.0
1213556,650,17.0
1231789,660,19.0
1249625,670,20.0
1267877,680,21.0
1286671,690,19.0
1305923,700,19.0
1323440,710,19.0
1340764,720,19.0
1358470,730,21.0
1376458,740,20.0
1395497,750,19.0
1414452,760,17.0
1433886,770,3.0
1451715,780,19.0
1470677,790,19.0
1489387,800,19.0
1507666,810,21.0
1525084,820,21.0
1542424,830,21.0
1559749,840,21.0
1578260,850,19.0
1597302,860,18.0
1615139,870,21.0
1634219,880,18.0
1651622,890,19.0
1669863,900,18.0
1687815,910,21.0
1705647,920,20.0
1723985,930,21.0
1744004,940,13.0
1763406,950,17.0
1781638,960,20.0
1799151,970,21.0
1816835,980,21.0
1833611,990,21.0
1852285,1000,19.0
1870842,1010,16.0
1889026,1020,19.0
1907709,1030,17.0
1925683,1040,16.0
1943202,1050,19.0
1961351,1060,16.0
1979254,1070,19.0
1997177,1080,21.0
2014659,1090,20.0
2032776,1100,21.0
2049566,1110,21.0
2067165,1120,20.0
2084841,1130,20.0
2103142,1140,19.0
2121930,1150,21.0
2139386,1160,20.0
2156939,1170,21.0
2174147,1180,20.0
