index,episode,rewards
762,1,-21.0
1526,2,-21.0
2288,3,-21.0
3049,4,-21.0
3808,5,-21.0
4572,6,-21.0
5332,7,-21.0
6093,8,-21.0
6856,9,-21.0
7618,10,-21.0
8375,11,-21.0
9135,12,-21.0
9899,13,-21.0
10660,14,-21.0
11418,15,-21.0
12178,16,-21.0
12941,17,-21.0
13701,18,-21.0
14463,19,-21.0
15223,20,-21.0
15982,21,-21.0
16740,22,-21.0
17504,23,-21.0
18265,24,-21.0
19024,25,-21.0
19786,26,-21.0
20547,27,-21.0
21323,28,-21.0
22087,29,-21.0
22844,30,-21.0
23602,31,-21.0
24363,32,-21.0
25123,33,-21.0
25883,34,-21.0
26688,35,-21.0
27470,36,-21.0
28293,37,-21.0
29163,38,-21.0
29927,39,-21.0
30847,40,-21.0
31727,41,-21.0
32574,42,-21.0
33334,43,-21.0
34113,44,-21.0
35015,45,-20.0
35953,46,-21.0
36745,47,-21.0
37582,48,-20.0
38400,49,-21.0
39220,50,-21.0
40052,51,-20.0
40948,52,-20.0
41764,53,-21.0
42695,54,-19.0
43547,55,-21.0
44365,56,-21.0
45382,57,-20.0
46282,58,-20.0
47195,59,-21.0
48039,60,-21.0
48858,61,-21.0
49679,62,-21.0
50619,63,-21.0
51378,64,-21.0
52215,65,-20.0
53037,66,-21.0
53855,67,-21.0
54673,68,-21.0
55454,69,-21.0
56212,70,-21.0
56974,71,-21.0
57793,72,-21.0
58616,73,-21.0
59639,74,-20.0
60430,75,-21.0
61189,76,-21.0
62073,77,-21.0
62925,78,-21.0
63682,79,-21.0
64791,80,-21.0
65552,81,-21.0
66339,82,-21.0
67099,83,-21.0
67862,84,-21.0
68652,85,-21.0
69490,86,-21.0
70248,87,-21.0
71011,88,-21.0
72012,89,-21.0
72957,90,-21.0
73778,91,-21.0
74598,92,-21.0
75375,93,-21.0
76138,94,-21.0
76962,95,-21.0
77780,96,-21.0
78538,97,-21.0
79356,98,-21.0
80115,99,-21.0
80877,100,-21.0
81750,101,-20.0
82510,102,-21.0
83273,103,-21.0
84036,104,-21.0
84822,105,-21.0
85584,106,-21.0
86402,107,-21.0
87164,108,-21.0
87978,109,-21.0
88940,110,-21.0
89699,111,-21.0
90456,112,-21.0
91246,113,-21.0
92094,114,-21.0
92903,115,-21.0
93982,116,-20.0
94763,117,-21.0
95522,118,-21.0
96284,119,-21.0
97138,120,-20.0
97896,121,-21.0
98654,122,-21.0
99414,123,-21.0
100173,124,-21.0
100934,125,-21.0
101758,126,-21.0
102521,127,-21.0
103279,128,-21.0
104038,129,-21.0
104801,130,-21.0
105558,131,-21.0
106322,132,-21.0
107145,133,-21.0
107903,134,-21.0
108682,135,-21.0
109445,136,-21.0
110265,137,-21.0
111201,138,-21.0
111963,139,-21.0
112725,140,-21.0
113489,141,-21.0
114250,142,-21.0
115009,143,-21.0
115771,144,-21.0
116529,145,-21.0
117292,146,-21.0
118055,147,-21.0
118818,148,-21.0
119578,149,-21.0
120341,150,-21.0
121099,151,-21.0
121861,152,-21.0
122619,153,-21.0
123427,154,-21.0
124248,155,-21.0
125012,156,-21.0
125769,157,-21.0
126532,158,-21.0
127289,159,-21.0
128128,160,-20.0
128888,161,-21.0
129768,162,-21.0
130650,163,-21.0
131411,164,-21.0
132173,165,-21.0
132936,166,-21.0
133698,167,-21.0
134458,168,-21.0
135220,169,-21.0
135978,170,-21.0
136737,171,-21.0
137495,172,-21.0
138257,173,-21.0
139018,174,-21.0
139781,175,-21.0
140542,176,-21.0
141300,177,-21.0
142058,178,-21.0
142817,179,-21.0
143576,180,-21.0
144338,181,-21.0
145099,182,-21.0
145858,183,-21.0
146619,184,-21.0
147383,185,-21.0
148142,186,-21.0
148906,187,-21.0
149667,188,-21.0
150431,189,-21.0
151194,190,-21.0
151957,191,-21.0
152718,192,-21.0
153478,193,-21.0
154239,194,-21.0
154997,195,-21.0
155755,196,-21.0
156515,197,-21.0
157277,198,-21.0
158040,199,-21.0
158799,200,-21.0
159699,201,-20.0
160457,202,-21.0
161221,203,-21.0
161981,204,-21.0
162738,205,-21.0
163501,206,-21.0
164278,207,-21.0
165039,208,-21.0
165796,209,-21.0
166560,210,-21.0
167318,211,-21.0
168078,212,-21.0
168840,213,-21.0
169603,214,-21.0
170427,215,-21.0
171250,216,-21.0
172030,217,-21.0
172918,218,-20.0
173774,219,-21.0
174535,220,-21.0
175357,221,-21.0
176177,222,-21.0
176935,223,-21.0
177697,224,-21.0
178487,225,-21.0
179457,226,-19.0
180288,227,-20.0
181052,228,-21.0
181809,229,-21.0
182571,230,-21.0
183467,231,-21.0
184285,232,-21.0
185123,233,-20.0
185909,234,-21.0
186787,235,-21.0
187569,236,-21.0
188351,237,-21.0
189173,238,-21.0
189932,239,-21.0
190723,240,-21.0
191547,241,-21.0
192346,242,-21.0
193145,243,-21.0
193905,244,-21.0
194667,245,-21.0
195430,246,-21.0
196315,247,-21.0
197137,248,-21.0
197896,249,-21.0
198656,250,-21.0
199420,251,-21.0
200180,252,-21.0
201000,253,-21.0
201757,254,-21.0
202519,255,-21.0
203278,256,-21.0
204036,257,-21.0
204857,258,-21.0
205616,259,-21.0
206373,260,-21.0
207196,261,-21.0
208135,262,-21.0
208896,263,-21.0
209718,264,-21.0
210601,265,-21.0
211358,266,-21.0
212115,267,-21.0
212875,268,-21.0
213637,269,-21.0
214401,270,-21.0
215188,271,-21.0
216014,272,-21.0
216773,273,-21.0
217593,274,-21.0
218476,275,-21.0
219356,276,-21.0
220297,277,-21.0
221058,278,-21.0
221818,279,-21.0
222758,280,-21.0
223521,281,-21.0
224281,282,-21.0
225040,283,-21.0
225798,284,-21.0
226558,285,-21.0
227322,286,-21.0
228083,287,-21.0
228846,288,-21.0
229609,289,-21.0
230369,290,-21.0
231131,291,-21.0
231892,292,-21.0
232653,293,-21.0
233410,294,-21.0
234167,295,-21.0
234930,296,-21.0
235694,297,-21.0
236457,298,-21.0
237216,299,-21.0
237979,300,-21.0
238738,301,-21.0
239497,302,-21.0
240259,303,-21.0
241017,304,-21.0
241779,305,-21.0
242538,306,-21.0
243296,307,-21.0
244057,308,-21.0
244816,309,-21.0
245578,310,-21.0
246339,311,-21.0
247097,312,-21.0
247859,313,-21.0
248676,314,-21.0
249436,315,-21.0
250194,316,-21.0
250955,317,-21.0
251715,318,-21.0
252477,319,-21.0
253235,320,-21.0
253995,321,-21.0
254753,322,-21.0
255515,323,-21.0
256278,324,-21.0
257040,325,-21.0
257798,326,-21.0
258557,327,-21.0
259321,328,-21.0
260081,329,-21.0
260840,330,-21.0
261601,331,-21.0
262361,332,-21.0
263120,333,-21.0
263882,334,-21.0
264644,335,-21.0
265403,336,-21.0
266164,337,-21.0
266924,338,-21.0
267774,339,-21.0
268585,340,-21.0
269404,341,-21.0
270195,342,-21.0
270958,343,-21.0
271719,344,-21.0
272501,345,-21.0
273290,346,-21.0
274054,347,-21.0
274812,348,-21.0
275571,349,-21.0
276334,350,-21.0
277092,351,-21.0
277851,352,-21.0
278611,353,-21.0
279372,354,-21.0
280132,355,-21.0
280890,356,-21.0
281650,357,-21.0
282413,358,-21.0
283174,359,-21.0
283934,360,-21.0
284691,361,-21.0
285455,362,-21.0
286219,363,-21.0
287036,364,-21.0
287796,365,-21.0
288581,366,-21.0
289341,367,-21.0
290103,368,-21.0
290980,369,-21.0
291739,370,-21.0
292498,371,-21.0
293262,372,-21.0
294025,373,-21.0
294789,374,-21.0
295609,375,-21.0
296492,376,-21.0
297464,377,-21.0
298283,378,-21.0
299046,379,-21.0
299810,380,-21.0
300651,381,-20.0
301411,382,-21.0
302173,383,-21.0
302937,384,-21.0
303699,385,-21.0
304461,386,-21.0
305249,387,-21.0
306010,388,-21.0
306773,389,-21.0
307535,390,-21.0
308297,391,-21.0
309075,392,-21.0
309865,393,-21.0
310653,394,-21.0
