index,episode,rewards
755,1,-21.0
1513,2,-21.0
2277,3,-21.0
3038,4,-21.0
3795,5,-21.0
4559,6,-21.0
5318,7,-21.0
6079,8,-21.0
6841,9,-21.0
7599,10,-21.0
8359,11,-21.0
9120,12,-21.0
9880,13,-21.0
10644,14,-21.0
11405,15,-21.0
12162,16,-21.0
12919,17,-21.0
13680,18,-21.0
14444,19,-21.0
15205,20,-21.0
15968,21,-21.0
16725,22,-21.0
17485,23,-21.0
18242,24,-21.0
19005,25,-21.0
19765,26,-21.0
20529,27,-21.0
21291,28,-21.0
22049,29,-21.0
22809,30,-21.0
23630,31,-21.0
24388,32,-21.0
25149,33,-21.0
25910,34,-21.0
26671,35,-21.0
27429,36,-21.0
28189,37,-21.0
28953,38,-21.0
29773,39,-21.0
30657,40,-21.0
31434,41,-21.0
32192,42,-21.0
33163,43,-21.0
34102,44,-21.0
34988,45,-21.0
35872,46,-21.0
36756,47,-21.0
37910,48,-18.0
38733,49,-21.0
39572,50,-20.0
40423,51,-21.0
41272,52,-21.0
42178,53,-21.0
42935,54,-21.0
43694,55,-21.0
44597,56,-21.0
45416,57,-21.0
46179,58,-21.0
47046,59,-20.0
47805,60,-21.0
48567,61,-21.0
49330,62,-21.0
50151,63,-21.0
50946,64,-21.0
51703,65,-21.0
52559,66,-20.0
53394,67,-20.0
54273,68,-21.0
55155,69,-21.0
55916,70,-21.0
56766,71,-21.0
57528,72,-21.0
58292,73,-21.0
59112,74,-21.0
59994,75,-21.0
60814,76,-21.0
61631,77,-21.0
62573,78,-21.0
63517,79,-21.0
64345,80,-21.0
65122,81,-21.0
65946,82,-21.0
66784,83,-21.0
67625,84,-20.0
68605,85,-20.0
69391,86,-21.0
70351,87,-21.0
71176,88,-21.0
72062,89,-21.0
73144,90,-18.0
74104,91,-21.0
75019,92,-20.0
75979,93,-21.0
76816,94,-20.0
77659,95,-21.0
78651,96,-19.0
79414,97,-21.0
80173,98,-21.0
81080,99,-20.0
81947,100,-20.0
82784,101,-20.0
83711,102,-20.0
84578,103,-21.0
85336,104,-21.0
86097,105,-21.0
86874,106,-21.0
87672,107,-21.0
88508,108,-20.0
89270,109,-21.0
90030,110,-21.0
91020,111,-21.0
92218,112,-20.0
93211,113,-19.0
94239,114,-21.0
95072,115,-20.0
95851,116,-21.0
96608,117,-21.0
97499,118,-20.0
98258,119,-21.0
99159,120,-21.0
100194,121,-20.0
100975,122,-21.0
101877,123,-21.0
102654,124,-21.0
103540,125,-21.0
104327,126,-21.0
105090,127,-21.0
105972,128,-21.0
106853,129,-21.0
107616,130,-21.0
108434,131,-21.0
109196,132,-21.0
110016,133,-21.0
111018,134,-21.0
111781,135,-21.0
112802,136,-21.0
113856,137,-19.0
114737,138,-21.0
115743,139,-21.0
116747,140,-21.0
117569,141,-21.0
118327,142,-21.0
119150,143,-21.0
119939,144,-21.0
120824,145,-21.0
121646,146,-21.0
122408,147,-21.0
123302,148,-20.0
124064,149,-21.0
125086,150,-20.0
125848,151,-21.0
126908,152,-21.0
128072,153,-20.0
128830,154,-21.0
129972,155,-20.0
130881,156,-21.0
131781,157,-21.0
132539,158,-21.0
133482,159,-21.0
134346,160,-21.0
135232,161,-21.0
136175,162,-21.0
136935,163,-21.0
137944,164,-20.0
138763,165,-21.0
139678,166,-20.0
140499,167,-21.0
141307,168,-21.0
142068,169,-21.0
142829,170,-21.0
143633,171,-21.0
144721,172,-21.0
145543,173,-21.0
146302,174,-21.0
147205,175,-20.0
148160,176,-20.0
149011,177,-21.0
149770,178,-21.0
150532,179,-21.0
151349,180,-21.0
152110,181,-21.0
152933,182,-21.0
153890,183,-21.0
154968,184,-20.0
155866,185,-20.0
156807,186,-21.0
157691,187,-21.0
158515,188,-21.0
159272,189,-21.0
160033,190,-21.0
161020,191,-21.0
161782,192,-21.0
162602,193,-21.0
163363,194,-21.0
164123,195,-21.0
165107,196,-20.0
165956,197,-21.0
166719,198,-21.0
167639,199,-19.0
168657,200,-20.0
169497,201,-21.0
170261,202,-21.0
171442,203,-19.0
172461,204,-21.0
173529,205,-19.0
174439,206,-21.0
175322,207,-21.0
176495,208,-18.0
177494,209,-21.0
178709,210,-21.0
180073,211,-19.0
181224,212,-21.0
181985,213,-21.0
182805,214,-21.0
183624,215,-21.0
184442,216,-21.0
185260,217,-21.0
186024,218,-21.0
187114,219,-21.0
187936,220,-21.0
188694,221,-21.0
189575,222,-21.0
190451,223,-21.0
191269,224,-21.0
192150,225,-21.0
192913,226,-21.0
